"epoch","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - _step","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - _step","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - _step","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - _step","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MAX"
"0","15","15","15","0.4916999936103821","0.4916999936103821","0.4916999936103821","15","15","15","0.5184999704360962","0.5184999704360962","0.5184999704360962","15","15","15","0.49619999527931213","0.49619999527931213","0.49619999527931213","15","15","15","0.41990000009536743","0.41990000009536743","0.41990000009536743"
"1","32","32","32","0.48739999532699585","0.48739999532699585","0.48739999532699585","32","32","32","0.6272000074386597","0.6272000074386597","0.6272000074386597","32","32","32","0.5695000290870667","0.5695000290870667","0.5695000290870667","32","32","32","0.4950000047683716","0.4950000047683716","0.4950000047683716"
"2","48","48","48","0.5421000123023987","0.5421000123023987","0.5421000123023987","48","48","48","0.6182000041007996","0.6182000041007996","0.6182000041007996","48","48","48","0.6244999766349792","0.6244999766349792","0.6244999766349792","48","48","48","0.5138999819755554","0.5138999819755554","0.5138999819755554"
"3","65","65","65","0.5546000003814697","0.5546000003814697","0.5546000003814697","65","65","65","0.6808000206947327","0.6808000206947327","0.6808000206947327","65","65","65","0.6553000211715698","0.6553000211715698","0.6553000211715698","65","65","65","0.6123999953269958","0.6123999953269958","0.6123999953269958"
"4","82","82","82","0.5776000022888184","0.5776000022888184","0.5776000022888184","82","82","82","0.7211999893188477","0.7211999893188477","0.7211999893188477","82","82","82","0.6859999895095825","0.6859999895095825","0.6859999895095825","82","82","82","0.64410001039505","0.64410001039505","0.64410001039505"
"5","98","98","98","0.5785999894142151","0.5785999894142151","0.5785999894142151","98","98","98","0.7013999819755554","0.7013999819755554","0.7013999819755554","98","98","98","0.6992999911308289","0.6992999911308289","0.6992999911308289","98","98","98","0.6359000205993652","0.6359000205993652","0.6359000205993652"
"6","115","115","115","0.5813999772071838","0.5813999772071838","0.5813999772071838","115","115","115","0.7479000091552734","0.7479000091552734","0.7479000091552734","115","115","115","0.7401999831199646","0.7401999831199646","0.7401999831199646","115","115","115","0.6800000071525574","0.6800000071525574","0.6800000071525574"
"7","132","132","132","0.5824000239372253","0.5824000239372253","0.5824000239372253","132","132","132","0.7631000280380249","0.7631000280380249","0.7631000280380249","132","132","132","0.7739999890327454","0.7739999890327454","0.7739999890327454","132","132","132","0.7268000245094299","0.7268000245094299","0.7268000245094299"
"8","148","148","148","0.603600025177002","0.603600025177002","0.603600025177002","148","148","148","0.7698000073432922","0.7698000073432922","0.7698000073432922","148","148","148","0.775600016117096","0.775600016117096","0.775600016117096","148","148","148","0.7322999835014343","0.7322999835014343","0.7322999835014343"
"9","165","165","165","0.6151000261306763","0.6151000261306763","0.6151000261306763","165","165","165","0.7631999850273132","0.7631999850273132","0.7631999850273132","165","165","165","0.7825000286102295","0.7825000286102295","0.7825000286102295","165","165","165","0.742900013923645","0.742900013923645","0.742900013923645"
"10","182","182","182","0.6183000206947327","0.6183000206947327","0.6183000206947327","182","182","182","0.7825999855995178","0.7825999855995178","0.7825999855995178","182","182","182","0.7803999781608582","0.7803999781608582","0.7803999781608582","182","182","182","0.7784000039100647","0.7784000039100647","0.7784000039100647"
