"epoch","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MAX","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-CNN-layerwise-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MAX"
"0","15","15","15","0.8282999992370605","0.8282999992370605","0.8282999992370605","15","15","15","0.8073999881744385","0.8073999881744385","0.8073999881744385","15","15","15","0.7301999926567078","0.7301999926567078","0.7301999926567078","15","15","15","0.4758000075817108","0.4758000075817108","0.4758000075817108"
"1","32","32","32","0.8389999866485596","0.8389999866485596","0.8389999866485596","32","32","32","0.8191999793052673","0.8191999793052673","0.8191999793052673","32","32","32","0.7735999822616577","0.7735999822616577","0.7735999822616577","32","32","32","0.5199000239372253","0.5199000239372253","0.5199000239372253"
"2","48","48","48","0.839900016784668","0.839900016784668","0.839900016784668","48","48","48","0.8356000185012817","0.8356000185012817","0.8356000185012817","48","48","48","0.7797999978065491","0.7797999978065491","0.7797999978065491","48","48","48","0.515500009059906","0.515500009059906","0.515500009059906"
"3","65","65","65","0.8463000059127808","0.8463000059127808","0.8463000059127808","65","65","65","0.8434000015258789","0.8434000015258789","0.8434000015258789","65","65","65","0.7814000248908997","0.7814000248908997","0.7814000248908997","65","65","65","0.5519000291824341","0.5519000291824341","0.5519000291824341"
"4","82","82","82","0.843500018119812","0.843500018119812","0.843500018119812","82","82","82","0.8400999903678894","0.8400999903678894","0.8400999903678894","82","82","82","0.7883999943733215","0.7883999943733215","0.7883999943733215","82","82","82","0.5638999938964844","0.5638999938964844","0.5638999938964844"
"5","98","98","98","0.8424000144004822","0.8424000144004822","0.8424000144004822","98","98","98","0.8465999960899353","0.8465999960899353","0.8465999960899353","98","98","98","0.7972999811172485","0.7972999811172485","0.7972999811172485","98","98","98","0.557699978351593","0.557699978351593","0.557699978351593"
"6","115","115","115","0.8410999774932861","0.8410999774932861","0.8410999774932861","115","115","115","0.8431000113487244","0.8431000113487244","0.8431000113487244","115","115","115","0.792900025844574","0.792900025844574","0.792900025844574","115","115","115","0.5964000225067139","0.5964000225067139","0.5964000225067139"
"7","132","132","132","0.8427000045776367","0.8427000045776367","0.8427000045776367","132","132","132","0.8474000096321106","0.8474000096321106","0.8474000096321106","132","132","132","0.7968999743461609","0.7968999743461609","0.7968999743461609","132","132","132","0.5789999961853027","0.5789999961853027","0.5789999961853027"
"8","148","148","148","0.8392999768257141","0.8392999768257141","0.8392999768257141","148","148","148","0.8389000296592712","0.8389000296592712","0.8389000296592712","148","148","148","0.7986999750137329","0.7986999750137329","0.7986999750137329","148","148","148","0.6061999797821045","0.6061999797821045","0.6061999797821045"
"9","165","165","165","0.8438000082969666","0.8438000082969666","0.8438000082969666","165","165","165","0.8489000201225281","0.8489000201225281","0.8489000201225281","165","165","165","0.79830002784729","0.79830002784729","0.79830002784729","165","165","165","0.6225000023841858","0.6225000023841858","0.6225000023841858"
"10","182","182","182","0.8431000113487244","0.8431000113487244","0.8431000113487244","182","182","182","0.8435999751091003","0.8435999751091003","0.8435999751091003","182","182","182","0.8046000003814697","0.8046000003814697","0.8046000003814697","182","182","182","0.6141999959945679","0.6141999959945679","0.6141999959945679"
"11","198","198","198","0.8442999720573425","0.8442999720573425","0.8442999720573425","198","198","198","0.8478999733924866","0.8478999733924866","0.8478999733924866","198","198","198","0.8044999837875366","0.8044999837875366","0.8044999837875366","198","198","198","0.6302000284194946","0.6302000284194946","0.6302000284194946"
