"epoch","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - _step__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_4 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - _step__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_3 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - _step__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_2 - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - _step__MAX","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-deep-sumlogitsFalse-convFalse-k256_128-ps53-pool22-bnTrue-bneck32_layer_1 - validate_no_aug_accuracy/dataloader_idx_1__MAX"
"0","15","15","15","0.3610000014305115","0.3610000014305115","0.3610000014305115","15","15","15","0.3422999978065491","0.3422999978065491","0.3422999978065491","15","15","15","0.39989998936653137","0.39989998936653137","0.39989998936653137","15","15","15","0.64410001039505","0.64410001039505","0.64410001039505"
"1","32","32","32","0.428600013256073","0.428600013256073","0.428600013256073","32","32","32","0.4065999984741211","0.4065999984741211","0.4065999984741211","32","32","32","0.46860000491142273","0.46860000491142273","0.46860000491142273","32","32","32","0.6478000283241272","0.6478000283241272","0.6478000283241272"
"2","48","48","48","0.4066999852657318","0.4066999852657318","0.4066999852657318","48","48","48","0.40939998626708984","0.40939998626708984","0.40939998626708984","48","48","48","0.4440000057220459","0.4440000057220459","0.4440000057220459","48","48","48","0.6347000002861023","0.6347000002861023","0.6347000002861023"
"3","65","65","65","0.421099990606308","0.421099990606308","0.421099990606308","65","65","65","0.4041000008583069","0.4041000008583069","0.4041000008583069","65","65","65","0.5306000113487244","0.5306000113487244","0.5306000113487244","65","65","65","0.6601999998092651","0.6601999998092651","0.6601999998092651"
"4","82","82","82","0.4431000053882599","0.4431000053882599","0.4431000053882599","82","82","82","0.4722999930381775","0.4722999930381775","0.4722999930381775","82","82","82","0.5145999789237976","0.5145999789237976","0.5145999789237976","82","82","82","0.6510999798774719","0.6510999798774719","0.6510999798774719"
"5","98","98","98","0.4650999903678894","0.4650999903678894","0.4650999903678894","98","98","98","0.47530001401901245","0.47530001401901245","0.47530001401901245","98","98","98","0.550599992275238","0.550599992275238","0.550599992275238","98","98","98","0.6450999975204468","0.6450999975204468","0.6450999975204468"
"6","115","115","115","0.4562999904155731","0.4562999904155731","0.4562999904155731","115","115","115","0.4537000060081482","0.4537000060081482","0.4537000060081482","115","115","115","0.5541999936103821","0.5541999936103821","0.5541999936103821","115","115","115","0.6509000062942505","0.6509000062942505","0.6509000062942505"
"7","132","132","132","0.45719999074935913","0.45719999074935913","0.45719999074935913","132","132","132","0.4551999866962433","0.4551999866962433","0.4551999866962433","132","132","132","0.5633000135421753","0.5633000135421753","0.5633000135421753","132","132","132","0.6567999720573425","0.6567999720573425","0.6567999720573425"
"8","148","148","148","0.4595000147819519","0.4595000147819519","0.4595000147819519","148","148","148","0.4797999858856201","0.4797999858856201","0.4797999858856201","148","148","148","0.5511000156402588","0.5511000156402588","0.5511000156402588","148","148","148","0.6478000283241272","0.6478000283241272","0.6478000283241272"
"9","165","165","165","0.4708000123500824","0.4708000123500824","0.4708000123500824","165","165","165","0.4787999987602234","0.4787999987602234","0.4787999987602234","165","165","165","0.5236999988555908","0.5236999988555908","0.5236999988555908","165","165","165","0.6705999970436096","0.6705999970436096","0.6705999970436096"
"10","182","182","182","0.4447999894618988","0.4447999894618988","0.4447999894618988","182","182","182","0.4885999858379364","0.4885999858379364","0.4885999858379364","182","182","182","0.5486999750137329","0.5486999750137329","0.5486999750137329","182","182","182","0.6593000292778015","0.6593000292778015","0.6593000292778015"
"11","198","198","198","0.46399998664855957","0.46399998664855957","0.46399998664855957","198","198","198","0.48919999599456787","0.48919999599456787","0.48919999599456787","198","198","198","0.5206000208854675","0.5206000208854675","0.5206000208854675","198","198","198","0.6672000288963318","0.6672000288963318","0.6672000288963318"
